prosumer_id,selected_tariff,training_cost_flat_cad,training_cost_tou_cad,training_cost_tiered_cad,training_cost_rtp_cad,balanced_assignment_training_cost_cad,scenario
P1,tiered,15405.827991371702,16146.99178372471,14465.32051172268,22461.109657784007,14465.32051172268,balanced_fixed_training_only
P10,flat,25319.483756518275,25653.901852712588,24764.161359832935,38288.71461475111,25319.483756518275,balanced_fixed_training_only
P2,flat,19942.988913891488,20422.090399133405,19286.78038441071,29714.849040499234,19942.988913891488,balanced_fixed_training_only
P3,tiered,12894.463038568676,13396.486965470958,12110.96323949237,18986.502880175834,12110.96323949237,balanced_fixed_training_only
P4,rtp,6977.264635456473,7023.148889359765,6525.856034871522,8883.074430986015,8883.074430986015,balanced_fixed_training_only
P5,tou,10970.398700823305,11249.499462766442,10258.021495966348,15373.805631445313,11249.499462766442,balanced_fixed_training_only
P6,flat,10262.273782557731,10815.689922690035,9596.17560779215,14538.11040179058,10262.273782557731,balanced_fixed_training_only
P7,tou,9658.531616113201,9788.61728959373,9031.890606556197,13512.998033261358,9788.61728959373,balanced_fixed_training_only
P8,rtp,8019.536071723255,8149.238934799878,7500.010519004334,10680.703966997327,10680.703966997327,balanced_fixed_training_only
P9,tiered,15744.25185260621,16772.506439398985,14859.809397735835,23630.57259126615,14859.809397735835,balanced_fixed_training_only
