year,prosumer_id,load_kwh,pv_kwh
2021,P1,8127.082856432554,3990.33178881702
2021,P10,13473.670409666383,5172.652318836877
2021,P2,10710.872634610072,4285.911921321985
2021,P3,6450.402037368726,5468.2324513418425
2021,P4,3180.1570880125146,3103.5913913021263
2021,P5,5847.255893956006,3694.751656312055
2021,P6,5585.779453087772,4877.072186331913
2021,P7,4787.0633403842085,4581.492053826948
2021,P8,4425.420989271179,5763.812583846807
2021,P9,8277.260666074015,3399.1715238070906
2022,P1,8363.173214683995,3959.2511774161344
2022,P10,13809.472269499973,5132.362637391286
2022,P2,10751.05844740476,4252.529042409922
2022,P3,6931.250707286717,5425.640502385073
2022,P4,3164.068377636849,3079.417582434771
2022,P5,5816.102894674456,3665.973312422346
2022,P6,5791.825097403857,4839.0847723974975
2022,P7,4851.410961989905,4545.806907403709
2022,P8,4548.092328478038,5718.91836737886
2022,P9,8207.179333424865,3372.6954474285585
2023,P1,8479.404885834565,3991.242859062857
2023,P10,13893.236378962696,5173.833335822222
2023,P2,10999.110915201174,4286.890478252698
2023,P3,7051.553750446185,5469.480955012063
2023,P4,3281.502564179803,3104.3000014933327
2023,P5,6010.044813183229,3695.595239873015
2023,P6,5796.60553753884,4878.185716632381
2023,P7,4934.946114167134,4582.538097442538
2023,P8,4786.232081404709,5765.128574201904
2023,P9,8416.3441995319,3399.9476206831737
2024,P1,8266.752671447312,3946.6064102343407
2024,P10,13971.127713446756,5115.971272525998
2024,P2,10786.273305031536,4238.947625807255
2024,P3,6917.170151433682,5408.312488098912
2024,P4,3321.170931192184,3069.5827635155983
2024,P5,6004.304235874746,3654.2651946614255
2024,P6,5799.810628969737,4823.630056953083
2024,P7,4890.453650887652,4531.288841380168
2024,P8,4636.056067965206,5700.6537036718255
2024,P9,8252.49778404657,3361.923979088512
2025,P1,8274.914357541391,3904.320498390077
2025,P10,13870.603976636754,5061.156201616766
2025,P2,10720.011991429748,4193.529424196749
2025,P3,7142.524666677464,5350.365127423438
2025,P4,3258.097066155881,3036.693720970059
2025,P5,5978.648852049422,3615.111572583404
2025,P6,5914.027473135328,4771.947275810094
2025,P7,4945.194445721096,4482.73835000342
2025,P8,4666.215384151379,5639.574053230111
2025,P9,8187.486045344858,3325.902646776732
2026,P1,8509.337550890586,3894.295789179235
2026,P10,14466.29770142458,5048.161208195304
2026,P2,10998.334768752551,4182.762143933252
2026,P3,7293.569039971214,5336.627562949322
2026,P4,3487.071051879293,3028.8967249171824
2026,P5,6053.711865117271,3605.829434425217
2026,P6,5867.033390690994,4759.694853441288
2026,P7,4828.856185167127,4471.228498687269
2026,P8,4560.173680315007,5625.09391770334
2026,P9,7999.051642706931,3317.3630796712
2027,P1,8360.424818941174,3816.1084017846497
2027,P10,14773.426158620505,4946.80718749862
2027,P2,11116.133912367612,4098.783098213143
2027,P3,6857.154404187823,5229.481883927113
2027,P4,3294.9734539747483,2968.084312499172
2027,P5,5998.018361222477,3533.4337053561567
2027,P6,5895.489332036636,4664.132491070128
2027,P7,5080.232221633711,4381.457794641635
2027,P8,4866.9027309914745,5512.156580355605
2027,P9,8120.803127865671,3250.759008927664
2028,P1,8757.641266884802,3846.1865880156975
2028,P10,14580.120802254083,4985.797428909239
2028,P2,11343.978947218911,4131.089298239083
2028,P3,7389.757956122795,5270.700139132624
2028,P4,3382.636903147075,2991.4784573455427
2028,P5,6209.517917743083,3561.283877792313
2028,P6,5950.868377689849,4700.894718685854
2028,P7,5071.369747527403,4415.992008462467
2028,P8,4711.551880642209,5555.602849356009
2028,P9,8089.171809798947,3276.381167568928
2029,P1,8547.98335322742,3863.553830036228
2029,P10,14524.31124926358,5008.310520417333
2029,P2,11295.528308763714,4149.743002631504
2029,P3,7281.47581448485,5294.499693012608
2029,P4,3335.324278015736,3004.986312250399
2029,P5,6293.231831608547,3577.3646574409518
2029,P6,6007.785973322631,4722.121347822056
2029,P7,5070.603035687277,4435.93217522678
2029,P8,4812.217160326484,5580.6888656078845
2029,P9,8468.264408198766,3291.175484845676
2030,P1,8713.547969283889,3842.109583758877
2030,P10,14035.852135690828,4980.5124233911365
2030,P2,11695.728165285916,4126.710293666942
2030,P3,7140.377168128746,5265.113133299202
2030,P4,3461.660440969839,2988.307454034681
2030,P5,6344.154719758803,3557.508873850812
2030,P6,6047.415256804857,4695.911713483072
2030,P7,5140.793094930381,4411.311003575006
