event_id,scenario,start,end_exclusive,duration_hours
1,moderate,2021-02-12 17:00:00,2021-02-13 00:00:00,7
2,moderate,2021-06-15 03:00:00,2021-06-15 07:00:00,4
3,moderate,2021-08-23 02:00:00,2021-08-23 05:00:00,3
4,moderate,2021-11-28 00:00:00,2021-11-28 04:00:00,4
5,moderate,2022-02-18 05:00:00,2022-02-18 09:00:00,4
6,moderate,2022-03-31 17:00:00,2022-03-31 23:00:00,6
7,moderate,2022-10-20 10:00:00,2022-10-20 15:00:00,5
8,moderate,2022-11-06 20:00:00,2022-11-07 01:00:00,5
9,moderate,2022-11-30 06:00:00,2022-11-30 13:00:00,7
10,moderate,2022-12-12 20:00:00,2022-12-12 23:00:00,3
11,moderate,2023-04-07 00:00:00,2023-04-07 03:00:00,3
12,moderate,2023-05-06 13:00:00,2023-05-06 16:00:00,3
13,moderate,2023-07-31 13:00:00,2023-07-31 16:00:00,3
14,moderate,2023-08-15 22:00:00,2023-08-16 00:00:00,2
15,moderate,2023-11-05 08:00:00,2023-11-05 13:00:00,5
16,moderate,2023-11-05 14:00:00,2023-11-05 18:00:00,4
17,moderate,2024-01-15 13:00:00,2024-01-15 15:00:00,2
18,moderate,2024-01-26 18:00:00,2024-01-26 21:00:00,3
19,moderate,2024-03-09 00:00:00,2024-03-09 04:00:00,4
20,moderate,2024-04-26 12:00:00,2024-04-26 17:00:00,5
21,moderate,2024-07-18 20:00:00,2024-07-19 04:00:00,8
22,moderate,2024-11-02 21:00:00,2024-11-03 08:00:00,11
23,moderate,2024-12-02 04:00:00,2024-12-02 09:00:00,5
24,moderate,2025-01-01 01:00:00,2025-01-01 04:00:00,3
25,moderate,2025-01-14 23:00:00,2025-01-15 01:00:00,2
26,moderate,2025-04-06 10:00:00,2025-04-06 14:00:00,4
27,moderate,2025-07-20 06:00:00,2025-07-20 09:00:00,3
28,moderate,2025-07-23 01:00:00,2025-07-23 04:00:00,3
29,moderate,2025-09-18 00:00:00,2025-09-18 03:00:00,3
30,moderate,2026-04-17 14:00:00,2026-04-17 18:00:00,4
31,moderate,2026-06-10 18:00:00,2026-06-11 00:00:00,6
32,moderate,2026-08-27 12:00:00,2026-08-27 16:00:00,4
33,moderate,2026-10-25 14:00:00,2026-10-25 18:00:00,4
34,moderate,2026-11-26 13:00:00,2026-11-26 16:00:00,3
35,moderate,2027-01-10 11:00:00,2027-01-10 13:00:00,2
36,moderate,2027-01-24 07:00:00,2027-01-24 10:00:00,3
37,moderate,2027-02-04 16:00:00,2027-02-04 20:00:00,4
38,moderate,2027-03-19 00:00:00,2027-03-19 07:00:00,7
39,moderate,2027-07-11 11:00:00,2027-07-11 15:00:00,4
40,moderate,2028-01-27 17:00:00,2028-01-27 23:00:00,6
41,moderate,2028-03-13 00:00:00,2028-03-13 03:00:00,3
42,moderate,2028-05-25 13:00:00,2028-05-25 16:00:00,3
43,moderate,2028-05-28 10:00:00,2028-05-28 13:00:00,3
44,moderate,2028-08-23 09:00:00,2028-08-23 12:00:00,3
45,moderate,2028-10-17 07:00:00,2028-10-17 15:00:00,8
46,moderate,2029-02-06 09:00:00,2029-02-06 12:00:00,3
47,moderate,2029-02-18 13:00:00,2029-02-18 18:00:00,5
48,moderate,2029-09-01 17:00:00,2029-09-01 20:00:00,3
49,moderate,2029-10-11 01:00:00,2029-10-11 07:00:00,6
50,moderate,2029-10-14 18:00:00,2029-10-14 23:00:00,5
51,moderate,2029-10-29 10:00:00,2029-10-29 14:00:00,4
52,moderate,2029-11-25 00:00:00,2029-11-25 04:00:00,4
53,moderate,2029-12-10 13:00:00,2029-12-10 16:00:00,3
54,moderate,2029-12-28 17:00:00,2029-12-28 22:00:00,5
55,moderate,2030-01-03 12:00:00,2030-01-03 15:00:00,3
56,moderate,2030-02-03 02:00:00,2030-02-03 05:00:00,3
57,moderate,2030-02-20 21:00:00,2030-02-21 00:00:00,3
58,moderate,2030-03-14 00:00:00,2030-03-14 04:00:00,4
59,moderate,2030-04-24 05:00:00,2030-04-24 12:00:00,7
60,moderate,2030-05-18 08:00:00,2030-05-18 12:00:00,4
61,moderate,2030-05-31 10:00:00,2030-05-31 14:00:00,4
62,moderate,2030-07-09 15:00:00,2030-07-09 19:00:00,4
63,moderate,2031-01-07 10:00:00,2031-01-07 16:00:00,6
64,moderate,2032-01-21 22:00:00,2032-01-22 02:00:00,4
65,moderate,2032-01-27 15:00:00,2032-01-27 18:00:00,3
66,moderate,2032-02-10 12:00:00,2032-02-10 18:00:00,6
67,moderate,2032-02-22 20:00:00,2032-02-23 01:00:00,5
68,moderate,2032-04-10 13:00:00,2032-04-10 20:00:00,7
69,moderate,2032-05-10 08:00:00,2032-05-10 12:00:00,4
70,moderate,2032-08-07 11:00:00,2032-08-07 14:00:00,3
71,moderate,2033-07-22 10:00:00,2033-07-22 12:00:00,2
72,moderate,2033-08-16 17:00:00,2033-08-17 00:00:00,7
